index,Country,Target Text,Target Name,Document,Doc,Convention,Target Textt,index,Theme,Text,Textt,generated_sample
0,Guatemala,"By 2022, scientific knowledge and collective traditional knowledge associated with biological diversity, including that linked to genetic resources, are articulated and protected through the implementation of integrated research and systematization processes and legal or sui generis frameworks for protection.",META-1,NBSAP. 2012,NBSAP,Nature,"By 2022, scientific knowledge and collective traditional knowledge associated with biological diversity, including that linked to genetic resources, are articulated and protected through the implementation of integrated research and systematization processes and legal or sui generis frameworks for protection.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
1,Guatemala,"By 2015, mechanisms have been implemented that allow for the valuation of biological diversity and its ecosystem services, considering it a national priority for integral intergenerational human development.",META-2,NBSAP. 2012,NBSAP,Nature,"By 2015, mechanisms have been implemented that allow for the valuation of biological diversity and its ecosystem services, considering it a national priority for integral intergenerational human development.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
2,Guatemala,"By 2022, it has been consolidated that the benefits derived from the use of collective traditional knowledge of Biological Diversity and its Ecosystem Services are distributed in a fair and equitable manner.",META-3,NBSAP. 2012,NBSAP,Nature,"By 2022, it has been consolidated that the benefits derived from the use of collective traditional knowledge of Biological Diversity and its Ecosystem Services are distributed in a fair and equitable manner.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
3,Guatemala,"By 2022, at least 10% of coastal-marine ecosystems will be under some mechanism of sustainable use and/or conservation.",META-4,NBSAP. 2012,NBSAP,Nature,"By 2022, at least 10% of coastal-marine ecosystems will be under some mechanism of sustainable use and/or conservation.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
4,Guatemala,"By 2022, 15% of biological diversity and its ecosystem services will have been restored, improving their capacities to adapt to climate change and contributing to the reduction of socio-environmental vulnerability.",META-5,NBSAP. 2012,NBSAP,Nature,"By 2022, 15% of biological diversity and its ecosystem services will have been restored, improving their capacities to adapt to climate change and contributing to the reduction of socio-environmental vulnerability.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - Protection, management, and restoration of marine and coastal zones"
5,Guatemala,"By 2018, a technical and legal framework will be in place that will enable the implementation of international agreements related to risk management of modern biotechnology and invasive alien species.",META-6,NBSAP. 2012,NBSAP,Nature,"By 2018, a technical and legal Global Biodiversity Framework will be in place that will enable the implementation of international agreements related to risk management of modern biotechnology and invasive alien species.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
6,Guatemala,"By 2022, 50% of the SIGAP and other forms of conservation have been consolidated since their integration into the National System for the Conservation and Sustainable Use of Biological Diversity (SINADIBIO) and the country's territorial planning.",META-7,NBSAP. 2012,NBSAP,Nature,"By 2022, 50% of the SIGAP and other forms of conservation have been consolidated since their integration into the National System for the Conservation and Sustainable Use of Biological Diversity (SINADIBIO) and the country's territorial planning.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
7,Guatemala,"By 2022, mechanisms will have been put in place to achieve sustainability in the use of biological diversity and ecosystem services in all sectors and institutions of the State, as well as at the national, regional and municipal-local levels.",META-8,NBSAP. 2012,NBSAP,Nature,"By 2022, mechanisms will have been put in place to achieve sustainability in the use of biological diversity and ecosystem services in all sectors and institutions of the State, as well as at the national, regional and municipal-local levels.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - The essential overarching topic covered is ""sustainability in the use of biological diversity and ecosystem services,"" which relates to the protection and management of marine and coastal zones."
8,Guatemala,"By 2022, community business development based on the sustainable use of biological diversity and the fair and equitable distribution of the benefits derived from the use of biological resources and collective traditional knowledge will enable the economic and social development of the Guatemalan population.",META-9,NBSAP. 2012,NBSAP,Nature,"By 2022, community business development based on the sustainable use of biological diversity and the fair and equitable distribution of the benefits derived from the use of biological resources and collective traditional knowledge will enable the economic and social development of the Guatemalan population.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
9,Guatemala,"By 2018, mechanisms will have been developed to adapt to and reduce the socio-environmental vulnerability caused by the effects of climate change, in order to maintain the integrity of biological diversity and the functioning of its ecosystem services, as well as the livelihoods of the population.",META-10,NBSAP. 2012,NBSAP,Nature,"By 2018, mechanisms will have been developed to adapt to and reduce the socio-environmental vulnerability caused by the effects of climate change, in order to maintain the integrity of biological diversity and the functioning of its ecosystem services, as well as the livelihoods of the population.",0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","Protection, management, and restoration of marine and coastal zones  This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.","1 - The essential overarching topic covered is the ""protection, management, and restoration of marine and coastal zones,"" particularly in relation to maintaining the integrity of biological diversity and the functioning of ecosystem services."
